URN,EstablishmentName,EY_list.Ofsted URN
100990,Balham Nursery School,
126565,Moorlands Centre Nursery School,
104848,Greenacre Community Nursery School,
103141,Newtown Nursery School,
117692,McMillan Nursery School,
100550,Triangle Nursery School,
103144,Castle Vale Nursery School,
108431,Monkchester Road Nursery School,
108427,Ashfield Nursery School,
105283,Hoyle Nursery School,
103138,Bloomsbury Nursery School,
100768,Ann Bernadt Nursery School,
100552,Ethelred Nursery School and Children's Centre,
132151,Portman Early Childhood Centre,
108753,Pennywell Early Years Centre,
100771,The Grove Nursery School,
100553,Maytree Nursery School,
105385,Collyhurst Nursery School,
123970,Bentilee Nursery School,
112093,Hindpool Nursery School,
134241,Knowle West Early Years Centre,
108906,Hartcliffe Nursery School and Children's Centre,
108748,Hylton Red House Nursery School,
100213,Comet Nursery School and Children's Centre,
104137,Valley Nursery School,
113050,Chestnut Nursery,
101105,Dorothy Gardner Nursery School,
113982,Borough Road Nursery School,
104986,Ganneys Meadow Nursery School and Family Centre,
108134,Harewood Centre Nursery School,
119066,Duke Street Nursery School,
105757,Howard Street Nursery School,
100472,Golborne & Maxilla Nursery School,
103150,Edith Cadbury Nursery School,
104141,Ogley Hay Nursery School,
106826,Arnold Nursery School and Children's Centre,
100767,Kintore Way Nursery School and Children's Centre,
112471,Lord Street Nursery School,
113986,Horden Nursery School,
103127,West Heath Nursery School,
103137,Lillian De Lissa Nursery School,
100770,Nell Gwynn Nursery School,
108749,Usworth Colliery Nursery School,
103133,Weoley Castle Nursery School,
133372,Taywood Nursery,
103145,Osborne Nursery School,
131175,The Gill Blowers Nursery School,
106398,Douglas Valley Nursery School,
106016,Lark Hill Nursery School,
111789,Camborne Nursery School,
121268,Brougham Street Nursery School,
103766,Netherton Park Nursery School,
104285,Bushbury Nursery School,
117695,Bridlington Nursery School,
100386,North Islington Nursery School,
103131,Rubery Nursery School,
104278,Low Hill Nursery School,
134991,Appletree Nursery School,
134844,Lanterns Nursery School and Extended Services,
102071,Pembury House Nursery School,
103121,Brearley Nursery School,
119071,Ightenhill Nursery School,
108895,Little Hayes Nursery School,
106015,Hollywood Park Nursery School,
119086,Fairfield Nursery School,
104985,Castleway Nursery School,
131723,Thornton Heath Nursery School,
103142,Shenley Fields Nursery School,
100005,Thomas Coram Centre,
100991,Eastwood Nursery School,
112470,Gamesley Early Excellence Centre,
100315,Randolph Beresford Early Years Centre,
101492,Granville Plus Nursery School,
103124,St Thomas Centre Nursery School,
103130,Allens Croft Nursery School,
106397,Hindley Nursery School,
117080,Peartree Way Nursery School,
103027,Low Hall Nursery School,
108902,St Werburghs Park Nursery School,
104280,Eastfield Nursery School,
119083,Stoneygate Nursery School,
101490,Fawood Nursery School & Family Wellbeing Centre,
119096,Whitegate Nursery School,
103136,Jakeman Nursery School,
103126,Marsh Hill Nursery School,
135108,The Nottingham Nursery School and Training Centre,
100884,Columbia Market Nursery School,
112479,Ashgate Nursery School,
103139,Featherstone Nursery School,
100384,Margaret McMillan Nursery School,
112472,Central Community Nursery School,
104134,Sandbank Nursery School,
117067,Greenfield Nursery School,
104506,Ellergreen Nursery School and Childcare Centre,
106827,Rawmarsh Nursery School and Childrens Centre,
107592,Flatts Nursery School,
108896,Ilminster Avenue Nursery School,
101106,Mary Paterson Nursery School,
132815,Canterbury Nursery School and Centre for Children and Families,
103129,Kings Norton Nursery School,
100316,Vanessa Nursery School,
108898,Rosemary Nursery School and Children's Centre,
103134,Highters Heath Nursery School,
100551,Effra Nursery School and Children's Centre,
119070,Rosegrove Nursery School,
113972,Aclet Close Nursery School,
119097,Bacup Nursery School,
107185,Strong Close Nursery School,
113970,Oxhill Nursery School,
114351,Royal Spa Nursery School,
109748,Blagdon Nursery School,
119090,Newtown Nursery School,
108751,Oxclose Nursery School,
102072,Rowland Hill Nursery School,
114350,Tarnerland Nursery School,
101489,Curzon Nursery School & Family Wellbeing Centre,
102073,Woodlands Park Nursery School and Childrens Centre,
104283,Windsor Nursery School,
101858,Maples Nursery School and Children's Centre,
103125,Highfield Nursery School,
104505,Everton Nursery School and Family Centre,
108900,Speedwell Nursery School,
104136,Rowley View Nursery School,
106975,Grace Owen Nursery School,
100318,Bayonne Nursery School,
119067,Highfield Nursery School,
119078,Bradley Nursery School,
104507,Abercromby Nursery School,
109423,Pastures Way Nursery School,
103128,Goodway Nursery School,
120365,The Lincoln St Giles Nursery School,
119084,Longshaw Nursery School,
109421,Chapel Street Nursery School,
121782,Ronald Tree Nursery School,
100882,Childrens House Nursery School,
110959,Aspiring Foundations Federated Nursery Schools - Warrington Road Nursery School,
136931,King's Hedges Nursery School,
108430,Newburn Manor Nursery School,
110598,Huntingdon Nursery School,
107190,St Edmund's Nursery School & Children's Centre,
109751,Norcot Early Years Centre,
104847,Cambridge Nursery School,
132018,Bilston Nursery School,
121267,Childhaven Community Nursery School,
104140,Alumwell Nursery School,
107188,Abbey Green Nursery School,
112476,Stonehill Nursery School,
108893,St Philips Marsh Nursery School and Barton Hill Childrens Centre/Cashmore Early Years Centre,
110593,The Fields Nursery School,
103120,Bordesley Green East Nursery School,
108137,Crigglestone Nursery School,
110956,Sandy Lane Nursery and Forest School,
107187,Lilycroft Nursery School,
124911,Chertsey Nursery School,
130861,Bushy Leaze Early Years Centre,
100554,Holmewood Nursery School,
100102,Robert Owen Nursery School,
103135,Gracelands Nursery School,
126564,Boston Nursery School,
132014,The Castle Nursery School,
110957,Aspiring Foundations Federated Nursery Schools - Ditton Nursery School,
119074,Stoneyholme Nursery School,
100099,Abbey Wood Nursery School,
117079,Ludwick Nursery School,
100385,Kate Greenaway Nursery School and Children's Centre,
100886,Rachel Keeling Nursery School,
113983,George Dent Nursery School,
119093,Hillside Nursery School,
119064,Lee Royd Nursery School,
104984,Somerville Nursery School,
100473,St Anne's & Avondale Park Nursery School,
112475,Walbrook Nursery School,
110597,Colleges Nursery School,
119079,Walton Lane Nursery School,
119065,Rockwood Nursery School,
107189,Midland Road Nursery School,
108894,Filton Avenue Nursery School,
125807,Bognor Regis Nursery School,
102365,McMillan Early Childhood Centre,
105144,Grosvenor Nursery School and Day Care Centre,
117066,Arlesdene Nursery School and Pre-School,
100098,Pound Park Nursery School,
100212,Wentworth Nursery School and Children's Centre,
102706,Oliver Thomas Nursery School,
114699,Woodcroft Nursery School,
119100,Staghills Nursery School,
108665,Boldon Nursery School,
110599,Caverstede Nursery School,
125808,Chichester Nursery School,
102703,Ronald Openshaw Nursery School,
119088,Woodfield Nursery School,
117699,Hornsea Nursery School,
109422,Westfield Nursery School,
122970,Slade Nursery School,
103140,Adderley Nursery School,
109765,Chalvey Nursery School & Early Years Centre,
126562,"The Kingsdown Nursery School, Lincoln",
117069,Birchwood Nursery School,
132799,The Sue Hedley Nursery School,
100769,Dulwich Wood Nursery School,
108746,Houghton Le Spring Nursery School,
100667,Clyde Nursery School.,
126563,The Gainsborough Nursery School,
101861,South Acton Childrens Centre,
113991,Tudhoe Moor Nursery School,
109757,Victoria Park Nursery School & Family Hub,
112090,Frizington Nursery School,
100668,Chelwood Nursery School,
101104,Tachbrook Nursery School,
123962,Hednesford Nursery School,
125810,Boundstone Nursery School,
109419,Rothesay Nursery School,
109755,Hungerford Nursery School Centre for Children,
106018,Reddish Vale Nursery School,
109763,Lea Nursery School,
122983,Wheatley Nursery School,
142678,"Sketchley Hill Menphys Nursery School, Burbage",
120766,King's Lynn Nursery School,
104139,Lane Head Nursery School,
114698,Tanglewood Nursery School,
108750,Hetton Lyons Nursery School,
108904,Redcliffe Childrens Centre and Maintained Nursery School,
108905,The Limes Nursery School,
113051,Ham Drive Nursery School and Day Care,
131232,Pen Green Centre for Children and Their Families,
104845,Crossens Nursery School,
103633,Hillfields Nursery School,
110197,Knowles Nursery School,
121784,Highfield Nursery School,
102700,Edith Kerrison Nursery School,
112088,Cleator Moor Nursery School,
120364,Wyndham Park Nursery School,
109761,Baylis Court Nursery School,
134674,West Exe Nursery School,
112485,Alfreton Nursery School,
101702,Crosfield Nursery School,
110195,Henry Allen Nursery School,
131416,Hedon Nursery School,
133060,Reedley Hallows Nursery School,
113975,Seaham Harbour Nursery School,
109760,Slough Centre Nursery School,
109413,Cherry Trees Nursery School,
109418,Hart Hill Nursery School,
104135,Fullbrook Nursery School,
109750,Caversham Nursery School,
103132,Washwood Heath Nursery School,
117072,Rye Park Nursery School,
100887,Alice Model Nursery School,
112474,Harrington Nursery School,
137796,Selly Oak Nursery School,
104138,Millfields Nursery School,
123348,Oakengates Nursery School,
133731,Guildford Nursery School and Family Centre,
113971,Wingate Community Nursery School,
101704,Purley Nursery School,
105145,The Orchards Nursery School,
103028,Church Hill Nursery School,
121783,Croyland Nursery School & Day Nursery,
124913,The Wharf Nursery School,
109417,Peter Pan Nursery School,
117076,Kingswood Nursery School,
125491,Stockingford Maintained Nursery School,
113989,Rosemary Lane Nursery School,
117078,Tenterfield Nursery School,
106973,Broomhall Nursery School,
102701,Kay Rowe Nursery School,
106021,Freshfield Nursery School,
102705,Sheringham Nursery School & Children's Centre,
133668,Hillview Nursery School,
106828,Aughton Early Years Centre,
124525,Highfield Nursery School,
101705,Tunstall Nursery School,
131724,Selhurst Nursery School and Children's Centre,
113976,Etherley Lane Nursery School,
109756,Maidenhead Nursery School,
103122,Garretts Green Nursery School,
124912,Dorking Nursery School,
101254,St Margaret's Nursery School,
123967,Oaklands Nursery School,
112484,South Normanton Nursery School,
119101,Basnett Street Nursery School,
100097,Rachel McMillan Nursery School and Children's Centre,
108320,Bensham Grove Nursery School,
117077,Oxhey Nursery School,
131151,Camrose Early Years Centre for Children & Families,
112089,Parkview Nursery School,
115830,Haven Early Years Centre,
122972,Lydalls Nursery School,
132104,Evesham Nursery School,
101862,Greenfields Nursery School and Children's Centre,
102560,Surbiton Hill Nursery School,
105384,Martenscroft Nursery School & Children's Centre,
101860,Grove House Nursery School & Children's Centre,
110199,Bowerdean Nursery School,
115831,Hardmoor Early Years Centre,
103030,Acacia Nursery,
110594,Homerton Early Years Centre,
112469,Hadfield Nursery School,
100474,Chelsea Open Air Nursery School,
121266,St Paul's Nursery School,
122974,The ACE Centre Nursery School,
112091,Kendal Nursery School,
112481,Flagg Nursery School,
123347,Madeley Nursery School,
109758,The Lawns Nursery School,
108661,Clervaux Nursery School,
121785,Gloucester Nursery School,
113052,Plym Bridge Nursery and Day Care,
108752,Mill Hill Nursery School,
100992,Somerset Nursery School and Children's Centre,
120765,Emneth Nursery School,
121788,Parklands Nursery School,
122969,Grandpont Nursery School,
